country;density;year
AFG;31,58;1960
ALB;61,309;1960
DZA;45,44;1960
AGO;31,787;1960
ATG;59,512;1960
ARG;62,417;1960
ARM;62,822;1960
ABW;64,084;1960
AUS;67,78571429;1960
AUT;65,41;1960
AZE;57,555;1960
BHS;60,791;1960
BHR;48,95;1960
BGD;45,523;1960
BRB;58,56;1960
BLR;65,032;1960
BEL;66,78;1960
BLZ;58,656;1960
BEN;36,823;1960
BTN;34,019;1960
BOL;40,831;1960
BIH;58,68;1960
BWA;48,757;1960
BRA;52,434;1960
BRN;61,095;1960
BGR;67,55;1960
BFA;33,454;1960
BDI;39,698;1960
CPV;47,693;1960
KHM;39,613;1960
CMR;40,234;1960
CAN;68,26;1960
CAF;34,948;1960
TCD;35,956;1960
CHI;67,811;1960
CHL;54,604;1960
CHN;42,433;1960
COL;55,047;1960
COM;39,96;1960
COD;39,64;1960
COG;47,366;1960
CRI;59,224;1960
CIV;35,909;1960
HRV;62,095;1960
CUB;62,271;1960
CYP;67,631;1960
CZE;67,5;1960
DNK;70,44;1960
DJI;42,732;1960
DOM;50,396;1960
ECU;51,955;1960
EGY;46,822;1960
SLV;47,705;1960
GNQ;35,255;1960
ERI;36,973;1960
EST;63,979;1960
ETH;36,974;1960
FJI;53,978;1960
FIN;65,41;1960
FRA;66,6;1960
PYF;54,899;1960
GAB;38,035;1960
GMB;30,851;1960
GEO;59,686;1960
DEU;66,751;1960
GHA;45,53;1960
GRC;65,9;1960
GRD;58,013;1960
GUM;59,12;1960
GTM;46,08;1960
GIN;33,762;1960
GNB;36,338;1960
GUY;57,748;1960
HTI;40,804;1960
HND;44,621;1960
HKG;63,409;1960
HUN;65,93;1960
ISL;71,15;1960
IND;41,89;1960
IDN;47,293;1960
IRN;45,706;1960
IRQ;48,478;1960
IRL;67,977;1960
ITA;66,68;1960
JAM;62,711;1960
JPN;65,31;1960
JOR;52,456;1960
KAZ;53,231;1960
KEN;44,479;1960
KIR;47,095;1960
PRK;48,424;1960
KOR;50,614;1960
KWT;59,211;1960
KGZ;52,011;1960
LAO;41,543;1960
LVA;66,26;1960
LBN;61,565;1960
LSO;44,859;1960
LBR;32,43;1960
LBY;41,449;1960
LTU;66,94;1960
LUX;65,362;1960
MAC;62,996;1960
