country;year;density
NZL;2017;89
DNK;2017;88
FIN;2017;85
NOR;2017;85
CHE;2017;85
SGP;2017;84
SWE;2017;84
CAN;2017;82
LUX;2017;82
NLD;2017;82
GBR;2017;82
DEU;2017;81
AUS;2017;77
HKG;2017;77
ISL;2017;77
AUT;2017;75
BEL;2017;75
USA;2017;75
IRL;2017;74
JPN;2017;73
EST;2017;71
ARE;2017;71
FRA;2017;70
URY;2017;70
BRB;2017;68
BTN;2017;67
CHL;2017;67
BHS;2017;65
PRT;2017;63
QAT;2017;63
TWN;2017;63
BRN;2017;62
ISR;2017;62
BWA;2017;61
SVN;2017;61
POL;2017;60
SYC;2017;60
CRI;2017;59
LTU;2017;59
LVA;2017;58
VCT;2017;58
CYP;2017;57
CZE;2017;57
DMA;2017;57
ESP;2017;57
GEO;2017;56
MLT;2017;56
CPV;2017;55
RWA;2017;55
LCA;2017;55
KOR;2017;54
GRD;2017;52
NAM;2017;51
ITA;2017;50
MUS;2017;50
SVK;2017;50
HRV;2017;49
SAU;2017;49
GRC;2017;48
JOR;2017;48
ROU;2017;48
CUB;2017;47
MYS;2017;47
MNE;2017;46
STP;2017;46
HUN;2017;45
SEN;2017;45
BLR;2017;44
JAM;2017;44
OMN;2017;44
BGR;2017;43
ZAF;2017;43
VUT;2017;43
BFA;2017;42
LSO;2017;42
TUN;2017;42
CHN;2017;41
SRB;2017;41
SUR;2017;41
TTO;2017;41
GHA;2017;40
IND;2017;40
MAR;2017;40
TUR;2017;40
ARG;2017;39
BEN;2017;39
KSV;2017;39
KWT;2017;39
SLB;2017;39
SWZ;2017;39
ALB;2017;38
BIH;2017;38
GUY;2017;38
LKA;2017;38
TLS;2017;38
BRA;2017;37
COL;2017;37
IDN;2017;37
PAN;2017;37
PER;2017;37
THA;2017;37
ZMB;2017;37
BHR;2017;36
CIV;2017;36
MNG;2017;36
TZA;2017;36
ARM;2017;35
ETH;2017;35
MKD;2017;35
VNM;2017;35
PHL;2017;34
DZA;2017;33
BOL;2017;33
SLV;2017;33
MDV;2017;33
NER;2017;33
ECU;2017;32
EGY;2017;32
GAB;2017;32
PAK;2017;32
TGO;2017;32
AZE;2017;31
DJI;2017;31
KAZ;2017;31
LBR;2017;31
MWI;2017;31
MLI;2017;31
NPL;2017;31
MDA;2017;31
GMB;2017;30
IRN;2017;30
MMR;2017;30
SLE;2017;30
UKR;2017;30
DOM;2017;29
HND;2017;29
